customer_id,name,city,country,last_order_date,completed_orders,lifetime_revenue,days_since_last_order,customer_status
2110,Leah Rodriguez,Chicago,USA,2022-11-16,2,12936.766,776,High-value churn risk
3,Cristian Santos,Toronto,Canada,2024-03-27,6,12657.7395,279,High-value churn risk
1871,Melody Baker,Paris,France,2024-09-26,3,12511.1,96,High-value churn risk
2303,Brandon Sanchez,Sydney,Australia,2024-06-15,1,12396.28,199,High-value churn risk
2364,Kevin Estrada,Singapore,Singapore,2024-02-03,6,12357.9095,332,High-value churn risk
1098,Shawn Lozano,Bangkok,Thailand,2023-11-28,1,12287.756,399,High-value churn risk
1992,Cheryl Rogers,Vancouver,Canada,2024-07-17,3,12098.167,167,High-value churn risk
890,Joel Steele,Manchester,UK,2024-09-04,4,11380.1595,118,High-value churn risk
561,James Wilson,Melbourne,Australia,2024-10-01,2,11278.150000000001,91,High-value churn risk
1595,Lisa Johnson,Sydney,Australia,2024-06-22,6,11253.200499999999,192,High-value churn risk
2333,Amanda Taylor,Manchester,UK,2024-03-17,2,11234.67,289,High-value churn risk
212,Riley Bryant,Sydney,Australia,2024-01-28,4,11136.4775,338,High-value churn risk
522,Erica Rivera,Manchester,UK,2023-05-21,2,11111.930999999999,590,High-value churn risk
1199,Ashley Holder,Vancouver,Canada,2024-04-23,4,10990.195,252,High-value churn risk
2328,Matthew Moss,Los Angeles,USA,2023-11-15,1,10977.455,412,High-value churn risk
2355,Ashley Cooper,Toronto,Canada,2023-12-06,3,10900.406500000001,391,High-value churn risk
1381,Jaime Edwards,London,UK,2024-02-06,2,10566.8225,329,High-value churn risk
1922,Melissa Mendoza,Bangkok,Thailand,2024-09-14,4,10486.143,108,High-value churn risk
1421,Sherry Adams,Berlin,Germany,2024-08-24,2,10380.848,129,High-value churn risk
474,Danielle Bryant,Melbourne,Australia,2022-08-20,1,10062.555,864,High-value churn risk
718,Elizabeth Reese,Sydney,Australia,2024-09-14,1,10025.7335,108,High-value churn risk
1870,Joseph Moon,Melbourne,Australia,2023-06-17,3,9972.3855,563,High-value churn risk
2412,Mr. Kristopher Curtis,Munich,Germany,2022-06-20,1,9788.79,925,High-value churn risk
423,Richard Walker,Toronto,Canada,2022-11-08,1,9599.57,784,High-value churn risk
1223,Kenneth Armstrong,Manchester,UK,2024-08-01,7,9543.2055,152,High-value churn risk
691,Tammy Cook,Chicago,USA,2024-09-12,6,9426.813,110,High-value churn risk
315,Robert Jackson,Bangkok,Thailand,2022-04-13,1,9349.488,993,High-value churn risk
2009,Allison Hubbard,Manchester,UK,2024-08-26,2,9135.711,127,High-value churn risk
414,Jacqueline Villegas,Toronto,Canada,2023-10-27,2,9087.475,431,High-value churn risk
1761,Julie Taylor,Munich,Germany,2023-07-30,2,8933.6,520,High-value churn risk
2465,Caitlin Lawson,Berlin,Germany,2024-09-29,3,8814.328,93,High-value churn risk
1330,Alejandra Kelly,Sydney,Australia,2023-10-08,3,8547.353,450,High-value churn risk
2245,Charles Ford,Manchester,UK,2023-12-28,4,8536.860999999999,369,High-value churn risk
1012,Paul Estrada,Chicago,USA,2023-12-08,3,8314.710000000001,389,High-value churn risk
1924,Ralph Vasquez,Sydney,Australia,2024-04-25,5,8313.1735,250,High-value churn risk
574,Brandy Quinn,Vancouver,Canada,2023-05-12,5,8110.5644999999995,599,High-value churn risk
1212,Caitlin Smith,Toronto,Canada,2024-08-23,5,8104.9855,130,High-value churn risk
362,Charles Price,Singapore,Singapore,2024-03-10,5,8100.025,296,High-value churn risk
760,Stephen Garcia,Munich,Germany,2024-10-02,4,8006.5305,90,High-value churn risk
220,Stacey Stewart,New York,USA,2023-08-04,5,7929.914,515,High-value churn risk
1548,Jenna Howard,Los Angeles,USA,2024-08-05,5,7897.476500000001,148,High-value churn risk
807,Manuel Brown,New York,USA,2024-09-15,3,7779.464,107,High-value churn risk
897,Tracy Jackson,Toronto,Canada,2024-06-13,4,7766.322,201,High-value churn risk
2253,Charles Hopkins,Sydney,Australia,2024-09-30,3,7719.3785,92,High-value churn risk
556,Jose Vaughan,Sydney,Australia,2024-04-08,4,7703.6179999999995,267,High-value churn risk
2174,Jamie Gallagher,Vancouver,Canada,2024-03-16,5,7657.611,290,High-value churn risk
1218,William White,Mumbai,India,2024-06-10,4,7589.219,204,High-value churn risk
2237,Cory Harris,Manchester,UK,2023-12-10,5,7453.5445,387,High-value churn risk
943,Edward Brown,Vancouver,Canada,2024-07-26,6,7328.818,158,High-value churn risk
2394,Nicole Wallace DDS,Melbourne,Australia,2024-04-27,5,7326.8345,248,High-value churn risk
577,Kevin Sullivan,Singapore,Singapore,2024-08-20,6,7275.1785,133,High-value churn risk
277,Tanya Rogers,Manchester,UK,2024-06-07,4,7247.34,207,High-value churn risk
1097,Erin Lane,Vancouver,Canada,2024-04-06,5,7200.048,269,High-value churn risk
282,Paul Finley,New York,USA,2024-08-17,3,7174.619,136,High-value churn risk
18,Deborah Mason,Berlin,Germany,2024-09-01,5,7106.353,121,High-value churn risk
1753,Richard Simmons,Chicago,USA,2023-12-25,3,7091.3735,372,High-value churn risk
868,Dwayne Bruce,Bangkok,Thailand,2024-01-31,3,7052.641,335,High-value churn risk
371,Heather Page,London,UK,2023-12-11,1,7041.4,386,High-value churn risk
1158,Oscar Todd,Berlin,Germany,2022-10-19,4,6932.342000000001,804,High-value churn risk
448,Rachel Lane,New York,USA,2024-09-26,5,6907.6835,96,High-value churn risk
1893,Oscar Cruz,Melbourne,Australia,2024-04-24,4,6830.28,251,High-value churn risk
1656,Diane Manning,Vancouver,Canada,2024-06-25,5,6795.1195,189,High-value churn risk
141,Patricia Becker,London,UK,2023-08-21,3,6753.825,498,High-value churn risk
2263,Cynthia Stephens,London,UK,2024-01-03,5,6703.7255,363,High-value churn risk
856,Rebecca French,Paris,France,2023-03-18,3,6604.2595,654,High-value churn risk
295,Jenna Anderson DVM,Munich,Germany,2022-12-22,4,6600.992,740,High-value churn risk
1413,Kayla Deleon,Singapore,Singapore,2024-03-11,5,6561.228,295,High-value churn risk
1002,Ryan Garrison,Sydney,Australia,2024-08-06,5,6490.3975,147,High-value churn risk
1415,Steven Lopez,Sydney,Australia,2024-01-16,3,6489.932,350,High-value churn risk
126,Matthew Hoover,Singapore,Singapore,2023-09-05,4,6454.5165,483,High-value churn risk
619,Austin Schultz,Toronto,Canada,2023-11-21,3,6444.0315,406,High-value churn risk
1485,Jeffery Taylor,Manchester,UK,2024-09-30,4,6392.655500000001,92,High-value churn risk
1312,Kim Underwood,Munich,Germany,2023-10-28,4,6380.3475,430,High-value churn risk
243,Matthew Le,Paris,France,2024-06-28,4,6376.746,186,High-value churn risk
2403,James Whitaker,London,UK,2024-10-01,5,6336.6635,91,High-value churn risk
2195,Bryce Fox,Vancouver,Canada,2023-09-15,2,6273.3695,473,High-value churn risk
1889,William Craig,Bangkok,Thailand,2024-09-09,3,6252.4985,113,High-value churn risk
1596,Denise Brown,Chicago,USA,2024-02-19,3,6220.812000000001,316,High-value churn risk
1664,Keith Kennedy,Singapore,Singapore,2024-08-15,5,6151.101,138,High-value churn risk
2050,Danielle Stein,Paris,France,2024-04-02,3,6140.816,273,High-value churn risk
1521,Martha Jacobs,Vancouver,Canada,2023-11-19,3,6122.429999999999,408,High-value churn risk
1138,Mary Jones,Los Angeles,USA,2023-03-08,3,6116.8765,664,High-value churn risk
2273,Laura Adams,Munich,Germany,2024-04-04,3,6078.4545,271,High-value churn risk
1187,Alexandra Adams,Chicago,USA,2024-07-22,3,6051.9664999999995,162,High-value churn risk
762,Brian Mullen,Singapore,Singapore,2024-09-12,6,6025.67,110,High-value churn risk
558,Ronald Johns,Chicago,USA,2024-04-13,2,6016.5125,262,High-value churn risk
1171,Miguel Gonzalez,Sydney,Australia,2024-08-22,5,6001.1885,131,High-value churn risk
355,Christopher Moore,Bangkok,Thailand,2024-05-07,2,5968.6050000000005,238,High-value churn risk
132,Ashlee Jackson,Sydney,Australia,2024-07-20,4,5952.331,164,High-value churn risk
360,Harold Ellis,Bangkok,Thailand,2024-09-17,4,5877.701,105,High-value churn risk
1547,Joseph Best,Singapore,Singapore,2023-07-03,4,5872.849999999999,547,High-value churn risk
570,Danielle Gonzalez,Vancouver,Canada,2023-07-23,2,5857.247,527,High-value churn risk
1652,Scott Porter,Sydney,Australia,2024-07-12,2,5829.412,172,High-value churn risk
981,Danielle Jimenez,Singapore,Singapore,2023-01-31,3,5829.0605,700,High-value churn risk
1081,Aaron Lee,Paris,France,2024-01-21,3,5796.6385,345,High-value churn risk
1750,Tricia Sullivan,,UK,2024-01-09,2,5775.24,357,High-value churn risk
1058,Paul Willis,Vancouver,Canada,2023-09-10,4,5774.74,478,High-value churn risk
2487,Erin Carter,Berlin,Germany,2024-09-17,5,5737.9385,105,High-value churn risk
872,Joshua Martin,Vancouver,Canada,2024-02-25,4,5731.3205,310,High-value churn risk
1476,Shane Moore,Bangkok,Thailand,2024-09-29,5,5728.321,93,High-value churn risk
2073,Felicia Williams,Munich,Germany,2024-09-26,2,5726.92,96,High-value churn risk
1182,April Jones,Singapore,Singapore,2024-04-24,4,5723.742,251,High-value churn risk
952,Jasmine Browning,Los Angeles,USA,2024-01-21,5,5721.5154999999995,345,High-value churn risk
1214,Frank Moody,London,UK,2024-07-08,3,5692.2435,176,High-value churn risk
1064,Gregory Chen,Melbourne,Australia,2024-08-17,4,5678.1975,136,High-value churn risk
179,Paul Thompson,Los Angeles,USA,2024-06-29,6,5675.3855,185,High-value churn risk
1540,Sarah Wallace,Paris,France,2023-02-20,3,5630.773499999999,680,High-value churn risk
257,Andrew Reeves,Singapore,Singapore,2024-04-23,3,5615.227,252,High-value churn risk
2115,Michael Lee,Berlin,Germany,2024-01-09,4,5604.8585,357,High-value churn risk
137,Ryan Gonzalez,Melbourne,Australia,2024-07-12,3,5579.486,172,High-value churn risk
309,Autumn Key,Vancouver,Canada,2023-11-10,4,5569.427,417,High-value churn risk
789,Ashley Olson,,USA,2024-02-15,2,5544.53,320,High-value churn risk
1188,Joseph Smith,Los Angeles,USA,2024-08-19,4,5536.2095,134,High-value churn risk
661,Ray Ramos,Manchester,UK,2024-02-27,2,5518.003,308,High-value churn risk
1410,Wesley Brown,Bangkok,Thailand,2024-09-22,6,5513.552000000001,100,High-value churn risk
761,Dustin Patel,Manchester,UK,2024-08-07,5,5498.7705,146,High-value churn risk
1811,Mr. William Davis DDS,New York,USA,2024-09-12,3,5486.879,110,High-value churn risk
1325,Lisa Jones,Mumbai,India,2024-05-31,2,5479.7015,214,High-value churn risk
400,Gregory Holmes PhD,New York,USA,2024-05-15,5,5474.891,230,High-value churn risk
2143,Taylor Mullins,Toronto,Canada,2023-11-24,4,5433.1765,403,High-value churn risk
2121,Nathaniel Floyd,Berlin,Germany,2023-03-31,3,5407.1125,641,High-value churn risk
657,Diane Martinez,Berlin,Germany,2024-07-23,3,5389.3085,161,High-value churn risk
1014,Dean Rhodes,London,UK,2024-09-02,2,5388.291499999999,120,High-value churn risk
1605,Julie Wilson,Toronto,Canada,2023-12-20,2,5371.1755,377,High-value churn risk
1554,Nicholas Morgan,Los Angeles,USA,2023-09-28,4,5340.8005,460,High-value churn risk
2054,Jennifer Lewis,Melbourne,Australia,2024-08-16,4,5332.01,137,High-value churn risk
1610,Jack Barton,Manchester,UK,2024-05-07,4,5311.0335,238,High-value churn risk
2013,Melissa Elliott,Berlin,Germany,2024-04-24,4,5308.883,251,High-value churn risk
1629,Nicole Melendez,Melbourne,Australia,2023-10-28,3,5274.155500000001,430,High-value churn risk
1628,Stephen Thompson,Paris,France,2024-07-24,3,5251.633,160,High-value churn risk
2296,John Boyd,Chicago,USA,2024-08-10,4,5242.532999999999,143,High-value churn risk
773,Daniel Benson,Toronto,Canada,2024-03-09,5,5241.0779999999995,297,High-value churn risk
296,Kimberly Patel,Los Angeles,USA,2022-09-29,3,5238.7695,824,High-value churn risk
1815,Louis Rogers,New York,USA,2024-09-06,3,5198.823,116,High-value churn risk
2372,Donna Carroll,Vancouver,Canada,2024-10-02,6,5172.731000000001,90,High-value churn risk
2144,Mary Lee,Singapore,Singapore,2023-06-14,2,5156.205,566,High-value churn risk
1493,Katelyn Miller,Manchester,UK,2024-07-29,5,5142.316,155,High-value churn risk
306,Tammy Boone,Berlin,Germany,2023-01-14,2,5119.621,717,High-value churn risk
855,Faith Johnson,Los Angeles,USA,2023-09-25,2,5106.675,463,High-value churn risk
933,Austin Solis,Vancouver,Canada,2024-06-26,2,5093.443,188,High-value churn risk
2284,Robert West,London,UK,2024-07-19,3,5075.744,165,High-value churn risk
2473,Chad Adams,Los Angeles,USA,2024-02-10,3,5060.666,325,High-value churn risk
285,Tyler Mendoza,Sydney,Australia,2024-03-12,4,5059.821,294,High-value churn risk
1307,Jonathan Wood,Munich,Germany,2024-07-07,4,5054.5745,177,High-value churn risk
853,Mrs. Maureen Martin DDS,Bangkok,Thailand,2023-09-12,2,5053.165,476,High-value churn risk
1015,Gail Wilson,Vancouver,Canada,2024-01-08,2,5038.5725,358,High-value churn risk
1563,Pamela Perry,Manchester,UK,2024-08-08,3,5035.433999999999,145,High-value churn risk
2047,Kelsey Contreras,,Australia,2024-07-28,4,5027.5355,156,High-value churn risk
2489,John Wilson,Paris,France,2024-06-18,5,5023.782,196,High-value churn risk
112,Pamela Thompson,Singapore,Singapore,2023-07-31,3,5012.8605,519,High-value churn risk
611,Tara Holmes,Sydney,Australia,2024-12-26,3,145169.054,5,High-value active
528,Brent Hopkins,Vancouver,Canada,2024-11-21,6,72405.361,40,High-value active
2445,Virginia Rose,Bangkok,Thailand,2024-12-19,3,72021.0895,12,High-value active
1533,Lauren Anthony,Vancouver,Canada,2024-12-07,5,59602.71400000001,24,High-value active
1316,Susan Sanchez,Bangkok,Thailand,2024-12-07,5,40678.1115,24,High-value active
1455,Mark Lopez,,Canada,2024-11-15,3,38024.309,46,High-value active
2255,Melissa Sullivan,Paris,France,2024-11-10,2,37956.427,51,High-value active
469,Alicia Roth,Vancouver,Canada,2024-12-14,5,37892.18,17,High-value active
410,Dr. Morgan Payne PhD,New York,USA,2024-12-31,2,37608.97,0,High-value active
835,Michelle Salazar,Singapore,Singapore,2024-10-26,5,37055.887500000004,66,High-value active
1854,Cindy Thomas,Munich,Germany,2024-11-08,4,35856.354,53,High-value active
1417,Gene Alexander,Singapore,Singapore,2024-11-16,3,33978.791000000005,45,High-value active
1530,Clifford Cannon,Munich,Germany,2024-10-21,2,26588.08,71,High-value active
240,Amy Martinez,Munich,Germany,2024-12-03,4,23088.072,28,High-value active
1539,Jeremy Martinez,Mumbai,India,2024-12-13,5,18008.623499999998,18,High-value active
1676,Richard Lyons,Vancouver,Canada,2024-11-16,5,17177.05,45,High-value active
1328,Daniel Smith,Sydney,Australia,2024-11-25,2,16359.141999999998,36,High-value active
916,David Dunlap Jr.,Melbourne,Australia,2024-10-29,5,15819.357,63,High-value active
229,Amanda Hernandez,Singapore,Singapore,2024-11-07,7,15743.821,54,High-value active
2241,Jon Berry,London,UK,2024-11-10,4,15594.7405,51,High-value active
1940,Jordan Tanner,Sydney,Australia,2024-10-07,6,14953.306499999999,85,High-value active
601,Angela George,Singapore,Singapore,2024-11-23,2,14662.404,38,High-value active
73,Alicia Gilmore,Los Angeles,USA,2024-11-16,5,14570.2025,45,High-value active
1075,Sergio Carroll,Mumbai,India,2024-10-18,3,14332.332,74,High-value active
2068,Laurie Pineda,Manchester,UK,2024-11-17,3,14160.519,44,High-value active
2399,Kathleen Baker,Mumbai,India,2024-11-09,2,13576.273,52,High-value active
989,Kyle Davis,London,UK,2024-11-15,1,13393.632,46,High-value active
498,James Chapman,New York,USA,2024-11-16,3,13064.44,45,High-value active
1246,William Lindsey,London,UK,2024-10-07,2,12932.1925,85,High-value active
1835,Deborah Juarez,London,UK,2024-12-13,3,12425.87,18,High-value active
1911,Alexandra Green,Chicago,USA,2024-10-31,3,12399.628499999999,61,High-value active
1382,Christopher Bradley,Singapore,Singapore,2024-11-23,3,11770.505000000001,38,High-value active
1104,Stacey Morgan,Sydney,Australia,2024-12-22,3,11668.371,9,High-value active
276,Jennifer Simpson DVM,Los Angeles,USA,2024-12-18,4,11516.446,13,High-value active
1126,Rebecca Mcintyre,Chicago,USA,2024-11-03,3,10401.836,58,High-value active
290,Jose Bryant,Singapore,Singapore,2024-11-16,2,10354.628,45,High-value active
1469,Christina Henry,Chicago,USA,2024-12-12,6,10286.3375,19,High-value active
726,Danielle Medina,Los Angeles,USA,2024-12-08,6,10041.0495,23,High-value active
1590,Sandra Dawson,Toronto,Canada,2024-12-11,2,9907.246,20,High-value active
1245,Nicholas Villegas,Melbourne,Australia,2024-11-05,3,9505.74,56,High-value active
2180,Gina Vega,Singapore,Singapore,2024-12-06,5,9433.76,25,High-value active
2203,Jesus Flores,Bangkok,Thailand,2024-12-19,2,9342.78,12,High-value active
1085,Patricia Harvey,Toronto,Canada,2024-12-09,6,9323.287,22,High-value active
131,Yolanda Francis,Vancouver,Canada,2024-11-20,3,8847.9995,41,High-value active
1309,Ashley Simmons,London,UK,2024-10-08,7,8799.0935,84,High-value active
1494,Christine Watson,Chicago,USA,2024-12-19,6,8549.1985,12,High-value active
482,Brian Brown,Chicago,USA,2024-10-22,6,8443.4625,70,High-value active
1556,Joshua Clements,Toronto,Canada,2024-12-16,7,8305.2635,15,High-value active
1772,Danielle Kelly,Mumbai,India,2024-12-21,8,8263.887499999999,10,High-value active
94,Kara Schmidt,,Canada,2024-10-06,5,7635.8625,86,High-value active
1613,Andre Wilson,New York,USA,2024-11-22,4,7476.371,39,High-value active
1362,Pamela Wilson,Munich,Germany,2024-10-16,4,7366.8814999999995,76,High-value active
1901,Amy West,Singapore,Singapore,2024-10-04,3,7194.71,88,High-value active
2077,Christina Carrillo,Paris,France,2024-12-24,4,7154.9435,7,High-value active
576,Stephen Jones,Paris,France,2024-12-22,2,7134.6140000000005,9,High-value active
2193,Samantha Carlson,Chicago,USA,2024-12-13,6,7088.421,18,High-value active
532,Leah Barton,Berlin,Germany,2024-12-01,8,7066.000999999999,30,High-value active
2454,Sabrina Lopez,,Thailand,2024-10-25,5,6993.724,67,High-value active
162,Katherine Browning,New York,USA,2024-12-17,3,6641.137,14,High-value active
284,Stephanie Padilla,Singapore,Singapore,2024-12-28,4,6615.394,3,High-value active
1066,Jonathan Pham,London,UK,2024-10-14,4,6429.68,78,High-value active
1100,Jamie Ross,Chicago,USA,2024-12-29,6,6412.872,2,High-value active
1167,Karen Tapia,Paris,France,2024-12-30,5,6342.3755,1,High-value active
1379,Douglas Kline,Sydney,Australia,2024-12-30,5,6328.3925,1,High-value active
354,Ashley Sweeney,Toronto,Canada,2024-10-11,7,6321.094,81,High-value active
1890,Laura Acosta,Vancouver,Canada,2024-12-17,3,6320.8265,14,High-value active
921,Matthew Chan,Munich,Germany,2024-12-15,7,6270.3495,16,High-value active
1981,Andrea Estrada,Chicago,USA,2024-12-02,7,6225.7675,29,High-value active
733,Krystal Keller,Singapore,Singapore,2024-12-11,5,6076.7355,20,High-value active
1269,Scott Fuller,Chicago,USA,2024-12-14,4,6020.416,17,High-value active
573,Caroline Edwards,Berlin,Germany,2024-11-12,3,6003.973,49,High-value active
1929,Larry Curtis,Chicago,USA,2024-11-24,7,5930.3835,37,High-value active
1603,Lee Barker,Singapore,Singapore,2024-11-28,5,5891.668,33,High-value active
949,Donald Mueller,Singapore,Singapore,2024-10-20,3,5785.284000000001,72,High-value active
1739,Alexander Johnson,,USA,2024-11-17,5,5768.896,44,High-value active
1770,Zachary Morrison,New York,USA,2024-10-04,4,5762.443499999999,88,High-value active
426,Jessica Ramsey,,France,2024-10-19,4,5731.747,73,High-value active
1719,Jessica Hill,Toronto,Canada,2024-11-30,5,5699.008,31,High-value active
1773,Connie Hamilton,Los Angeles,USA,2024-12-29,5,5685.3935,2,High-value active
325,Shannon Davis,Singapore,Singapore,2024-12-28,6,5667.659,3,High-value active
1478,Thomas Baker,Berlin,Germany,2024-12-06,4,5640.1085,25,High-value active
1614,James Chapman,Bangkok,Thailand,2024-11-06,6,5547.3115,55,High-value active
2240,Brian Christensen,Melbourne,Australia,2024-12-24,5,5529.4345,7,High-value active
1450,Meredith Black,Chicago,USA,2024-12-16,4,5519.8015,15,High-value active
920,Barbara Cole,Melbourne,Australia,2024-11-30,3,5510.366,31,High-value active
727,Cheryl Gonzales,Paris,France,2024-10-23,3,5488.224,69,High-value active
2109,Jennifer Barrett,,USA,2024-12-14,4,5443.8265,17,High-value active
121,Thomas Romero,Vancouver,Canada,2024-11-22,4,5428.727999999999,39,High-value active
264,Tami Salas,Manchester,UK,2024-12-12,3,5413.5395,19,High-value active
2466,Stephanie Knight,Chicago,USA,2024-11-16,4,5384.5470000000005,45,High-value active
2426,Nathan Sparks,Paris,France,2024-10-22,4,5376.8265,70,High-value active
1686,Angela Yates,Manchester,UK,2024-12-10,3,5371.9795,21,High-value active
142,Richard Johnson,Sydney,Australia,2024-11-24,4,5365.8685,37,High-value active
2082,Trevor Cole,Mumbai,India,2024-11-24,3,5353.4435,37,High-value active
449,Fernando Lynn,Melbourne,Australia,2024-10-08,4,5304.5755,84,High-value active
260,Veronica Silva,Bangkok,Thailand,2024-11-20,4,5301.951,41,High-value active
1487,Paul Morton,Bangkok,Thailand,2024-11-12,3,5221.5675,49,High-value active
1702,Eric Acosta,Melbourne,Australia,2024-12-25,6,5215.594,6,High-value active
1637,Jose Mendez,Vancouver,Canada,2024-11-17,2,5215.506,44,High-value active
2415,Adrian Gibbs,Bangkok,Thailand,2024-11-20,3,5177.433,41,High-value active
341,Erin Cook,Munich,Germany,2024-12-20,4,5143.099999999999,11,High-value active
1044,Alfred Thomas,Toronto,Canada,2024-10-07,6,5122.611,85,High-value active
2343,Paula Johnson,Toronto,Canada,2024-11-06,3,5112.463,55,High-value active
1492,Steven Flores,Paris,France,2024-10-23,5,5065.1415,69,High-value active
251,Kathleen Davis,Bangkok,Thailand,2024-12-05,4,5011.98,26,High-value active
1624,Jacqueline Woods,Chicago,USA,2024-04-18,2,4974.4664999999995,257,Inactive
918,Kelly Vasquez,Berlin,Germany,2023-10-21,3,4962.088,437,Inactive
97,Paige Carlson,Sydney,Australia,2023-01-03,3,4950.239,728,Inactive
2184,Amy Farrell,Toronto,Canada,2024-08-15,4,4936.167,138,Inactive
2293,Robin Patterson,Munich,Germany,2023-11-18,2,4933.1835,409,Inactive
329,Jasmine Mosley,Melbourne,Australia,2023-09-25,3,4908.095,463,Inactive
2405,Theresa Gardner,Mumbai,India,2023-11-16,3,4904.338,411,Inactive
95,Jesse Parker,Sydney,Australia,2024-06-19,3,4848.6630000000005,195,Inactive
2475,Juan Becker,Los Angeles,USA,2024-09-29,4,4840.7685,93,Inactive
1658,Christopher Waters,Sydney,Australia,2023-11-07,3,4831.43,420,Inactive
504,Michael Harris,Sydney,Australia,2023-12-31,4,4802.834,366,Inactive
1449,Melissa Lin,Chicago,USA,2024-06-10,5,4795.0035,204,Inactive
215,Rachel Romero,New York,USA,2023-10-12,3,4789.381,446,Inactive
1519,David Sanchez,Munich,Germany,2024-02-27,4,4787.3525,308,Inactive
2212,Loretta Garrett,Toronto,Canada,2024-09-13,4,4778.6955,109,Inactive
572,Matthew Steele,Berlin,Germany,2024-05-03,4,4767.945,242,Inactive
1979,Elizabeth Cain,Sydney,Australia,2022-09-29,3,4747.6375,824,Inactive
96,Tiffany Vaughn,Paris,France,2024-03-31,5,4741.057,275,Inactive
